neighbourhood,stop_count,outlier_type
Rossmere-A,64,High
St. James Industrial,61,High
Windsor Park,60,High
River Park South,59,High
Inkster Industrial Park,57,High
Linden Woods,56,High
Dakota Crossing,55,High
Fort Richmond,54,High
Tyndall Park,53,High
Chalmers,51,High
Southdale,49,High
Jefferson,48,High
River East,48,High
The Maples,47,High
Canterbury Park,47,High
